160,133,110,132,109,134,110,133,110,86,54,54,102,133,102
140,151,121,114,109,112,108,112,108,54,54,53,106,58,54
140,107,54,54,53,54,54,54,54,0,0,0,0,53,54
179,179,149,53,54,53,53,53,53,0,0,0,0,54,53
54,107,54,54,54,54,54,54,54,0,0,0,0,53,54
53,109,53,53,53,53,54,53,53,0,0,0,0,54,53
54,107,54,54,54,54,53,54,60,131,109,130,108,53,54
53,109,53,53,53,53,54,53,144,113,54,59,54,54,53
54,107,60,54,54,54,53,54,0,0,54,53,54,53,54
53,109,136,108,53,53,54,53,0,0,53,54,53,54,53
54,107,0,0,54,54,53,54,105,133,54,54,54,53,54
53,109,0,0,53,53,54,53,54,59,53,53,53,54,53
54,108,103,136,54,54,53,54,53,53,54,54,54,53,54
58,108,58,59,57,53,58,54,58,54,57,53,57,54,58
134,234,129,97,189,165,200,289,127,97,190,164,191,176,224
